ward,arson,assault,battery,burglary,criminal_damage,homicide,narcotics,robbery,theft
6,2,49,110,8,62,0,11,23,47
8,2,47,98,5,47,4,5,20,47
9,1,37,79,9,56,3,6,10,44
10,2,18,56,2,26,0,1,9,30
16,1,36,87,7,40,1,16,10,43
17,1,41,103,9,58,0,9,9,49
21,4,44,86,7,53,2,14,14,45
24,4,48,98,14,49,2,29,25,51
25,1,13,30,3,22,0,2,7,43
26,2,14,23,8,24,0,15,2,29
27,3,40,63,9,50,1,39,16,115
28,1,45,131,8,58,1,101,16,49
29,1,26,75,8,58,1,13,11,46
30,2,15,22,5,14,0,1,2,16
33,1,4,18,5,13,0,0,5,21
34,1,27,70,12,48,0,7,8,33
36,1,11,30,4,35,0,2,4,22
37,1,32,84,5,46,3,19,11,39
45,1,14,14,2,17,1,0,3,24
49,1,15,43,5,25,0,2,12,41
1,0,14,26,7,24,0,1,2,43
2,0,3,24,0,14,0,0,5,55
3,0,24,81,6,33,3,5,17,36
4,0,30,46,7,23,1,4,12,69
5,0,39,59,13,28,2,4,16,51
7,0,43,96,3,61,0,2,12,56
11,0,9,32,5,11,0,4,6,12
12,0,10,24,3,22,1,1,1,18
13,0,8,20,8,11,0,1,3,23
14,0,15,19,10,18,0,0,6,30
15,0,15,43,5,23,0,3,5,17
18,0,17,15,4,27,0,0,3,20
19,0,6,12,0,6,0,1,3,6
20,0,53,94,8,44,3,5,12,35
22,0,10,33,1,14,0,5,7,23
23,0,12,25,5,14,1,1,1,19
31,0,12,20,2,15,0,4,3,39
32,0,17,13,1,24,1,0,0,53
35,0,9,17,3,18,0,2,3,29
38,0,8,26,2,14,0,1,4,17
39,0,7,12,7,13,0,3,0,26
40,0,8,26,7,18,0,4,3,41
41,0,7,16,6,16,0,2,2,36
42,0,21,45,6,22,0,1,11,73
43,0,3,17,2,9,0,0,1,26
44,0,6,22,3,10,0,1,3,57
46,0,14,27,4,8,0,0,5,40
47,0,7,13,4,17,0,0,2,29
48,0,12,30,7,9,0,0,4,36
50,0,7,15,9,16,0,0,1,20
